Report Category,Geographic Subdivision,School Name,Category,Cohort Year,Cohort,# Total Cohort,# Grads,% Grads,# Total Regents,% Total Regents of Cohort,% Total Regents of Grads,# Advanced Regents,% Advanced Regents of Cohort,% Advanced Regents of Grads,# Regents without Advanced,% Regents without Advanced of Cohort,% Regents without Advanced of Grads,# Local,% Local of Cohort,% Local of Grads,# Still Enrolled,% Still Enrolled,# Dropout,% Dropout,# SACC (IEP Diploma),% SACC (IEP Diploma) of Cohort,# TASC (GED),% TASC (GED) of Cohort
Citywide,Citywide,,All Students,2017,4 year June,72663,58062,79.9,57724,79.4,99.4,26442,36.4,45.5,31282,43.1,53.9,338,0.5,0.6,10197,14,3565,4.9,228,0.3,566,0.8
Citywide,Citywide,,All Students,2016,4 year June,73565,57322,77.9,56403,76.7,98.4,22563,30.7,39.4,33840,46,59,919,1.2,1.6,10737,14.6,4368,5.9,269,0.4,852,1.2
Citywide,Citywide,,All Students,2015,4 year June,73772,54493,73.9,49950,67.7,91.7,15518,21,28.5,34432,46.7,63.2,4543,6.2,8.3,12474,16.9,5790,7.8,319,0.4,692,0.9
Citywide,Citywide,,All Students,2014,4 year June,74948,54470,72.7,50339,67.2,92.4,15582,20.8,28.6,34757,46.4,63.8,4131,5.5,7.6,13845,18.5,5614,7.5,357,0.5,653,0.9
Citywide,Citywide,,All Students,2013,4 year June,73154,52018,71.1,48476,66.3,93.2,14676,20.1,28.2,33800,46.2,65,3542,4.8,6.8,14282,19.5,5734,7.8,442,0.6,569,0.8
Citywide,Citywide,,All Students,2012,4 year June,74172,51910,70,48792,65.8,94,13751,18.5,26.5,35041,47.2,67.5,3118,4.2,6,14844,20,6271,8.5,474,0.6,482,0.6
Citywide,Citywide,,All Students,2018,5 year August,70631,61193,86.6,60857,86.2,99.5,24756,35,40.5,36101,51.1,59,336,0.5,0.5,2538,3.6,5336,7.6,819,1.2,715,1
Citywide,Citywide,,All Students,2017,5 year August,72095,61960,85.9,61666,85.5,99.5,26788,37.2,43.2,34878,48.4,56.3,294,0.4,0.5,2900,4,5580,7.7,833,1.2,781,1.1
Citywide,Citywide,,All Students,2016,5 year August,73416,61616,83.9,60518,82.4,98.2,22743,31,36.9,37775,51.5,61.3,1098,1.5,1.8,4161,5.7,6052,8.2,558,0.8,994,1.4
Citywide,Citywide,,All Students,2015,5 year August,73703,60675,82.3,54922,74.5,90.5,15659,21.2,25.8,39263,53.3,64.7,5753,7.8,9.5,3941,5.3,7215,9.8,894,1.2,969,1.3
Citywide,Citywide,,All Students,2014,5 year August,74860,60124,80.3,54275,72.5,90.3,15687,21,26.1,38588,51.5,64.2,5849,7.8,9.7,3988,5.3,9036,12.1,905,1.2,801,1.1
Citywide,Citywide,,All Students,2013,5 year August,72882,57432,78.8,52312,71.8,91.1,14654,20.1,25.5,37658,51.7,65.6,5120,7,8.9,5248,7.2,8283,11.4,1171,1.6,725,1
Citywide,Citywide,,All Students,2012,5 year August,74099,57683,77.8,53167,71.8,92.2,13829,18.7,24,39338,53.1,68.2,4516,6.1,7.8,5764,7.8,8756,11.8,1118,1.5,616,0.8
Citywide,Citywide,,All Students,2018,5 year June,70631,60946,86.3,60615,85.8,99.5,24752,35,40.6,35863,50.8,58.8,331,0.5,0.5,2728,3.9,5393,7.6,819,1.2,715,1
Citywide,Citywide,,All Students,2017,5 year June,72095,61718,85.6,61431,85.2,99.5,26783,37.1,43.4,34648,48.1,56.1,287,0.4,0.5,3086,4.3,5636,7.8,833,1.2,781,1.1
Citywide,Citywide,,All Students,2016,5 year June,73416,61249,83.4,60168,82,98.2,22734,31,37.1,37434,51,61.1,1081,1.5,1.8,4490,6.1,6090,8.3,558,0.8,994,1.4
Citywide,Citywide,,All Students,2015,5 year June,73703,60305,81.8,54579,74.1,90.5,15654,21.2,26,38925,52.8,64.5,5726,7.8,9.5,4182,5.7,7344,10,894,1.2,969,1.3
Citywide,Citywide,,All Students,2014,5 year June,74860,59647,79.7,53990,72.1,90.5,15679,20.9,26.3,38311,51.2,64.2,5657,7.6,9.5,4334,5.8,9166,12.2,905,1.2,802,1.1
Citywide,Citywide,,All Students,2013,5 year June,72882,56963,78.2,52029,71.4,91.3,14651,20.1,25.7,37378,51.3,65.6,4934,6.8,8.7,5701,7.8,8296,11.4,1174,1.6,725,1
Citywide,Citywide,,All Students,2012,5 year June,74099,57211,77.2,52851,71.3,92.4,13829,18.7,24.2,39022,52.7,68.2,4360,5.9,7.6,6219,8.4,8771,11.8,1118,1.5,616,0.8
Citywide,Citywide,,All Students,2017,6 year June,71984,62441,86.7,62113,86.3,99.5,26790,37.2,42.9,35323,49.1,56.6,328,0.5,0.5,1603,2.2,6167,8.6,927,1.3,814,1.1
Citywide,Citywide,,All Students,2016,6 year June,73310,62386,85.1,61267,83.6,98.2,22753,31,36.5,38514,52.5,61.7,1119,1.5,1.8,2009,2.7,7094,9.7,744,1,1042,1.4
Citywide,Citywide,,All Students,2015,6 year June,73637,61676,83.8,55853,75.8,90.6,15667,21.3,25.4,40186,54.6,65.2,5823,7.9,9.4,2406,3.3,7578,10.3,974,1.3,988,1.3
Citywide,Citywide,,All Students,2014,6 year June,74815,61437,82.1,55300,73.9,90,15692,21,25.5,39608,52.9,64.5,6137,8.2,10,2412,3.2,9072,12.1,997,1.3,893,1.2
Citywide,Citywide,,All Students,2013,6 year June,72848,58640,80.5,53075,72.9,90.5,14662,20.1,25,38413,52.7,65.5,5565,7.6,9.5,2893,4,9358,12.8,1222,1.7,718,1
Citywide,Citywide,,All Students,2012,6 year June,73874,58803,79.6,53866,72.9,91.6,13830,18.7,23.5,40036,54.2,68.1,4937,6.7,8.4,3469,4.7,9587,13,1233,1.7,653,0.9
Citywide,Citywide,,ELL,2019,4 year August,7968,4938,62,4896,61.4,99.1,363,4.6,7.4,4533,56.9,91.8,42,0.5,0.9,1524,19.1,1353,17,73,0.9,77,1
Citywide,Citywide,,ELL,2018,4 year August,9760,6542,67,6494,66.5,99.3,1033,10.6,15.8,5461,56,83.5,48,0.5,0.7,1502,15.4,1503,15.4,111,1.1,98,1
Citywide,Citywide,,ELL,2017,4 year August,8376,5052,60.3,5026,60,99.5,826,9.9,16.3,4200,50.1,83.1,26,0.3,0.5,1824,21.8,1318,15.7,76,0.9,105,1.3
Citywide,Citywide,,ELL,2016,4 year August,7429,3393,45.7,3225,43.4,95,210,2.8,6.2,3015,40.6,88.9,168,2.3,5,2069,27.9,1701,22.9,77,1,187,2.5
Citywide,Citywide,,ELL,2015,4 year August,7425,3036,40.9,2026,27.3,66.7,102,1.4,3.4,1924,25.9,63.4,1010,13.6,33.3,2270,30.6,1899,25.6,96,1.3,123,1.7
Citywide,Citywide,,ELL,2014,4 year August,6771,2352,34.7,1564,23.1,66.5,84,1.2,3.6,1480,21.9,62.9,788,11.6,33.5,2403,35.5,1804,26.6,105,1.6,107,1.6
Citywide,Citywide,,ELL,2013,4 year August,6372,2072,32.5,1506,23.6,72.7,89,1.4,4.3,1417,22.2,68.4,566,8.9,27.3,2336,36.7,1733,27.2,123,1.9,85,1.3
Citywide,Citywide,,ELL,2012,4 year August,6159,1921,31.2,1512,24.5,78.7,90,1.5,4.7,1422,23.1,74,409,6.6,21.3,2335,37.9,1666,27,137,2.2,72,1.2
Citywide,Citywide,,ELL,2019,4 year June,7968,4618,58,4584,57.5,99.3,352,4.4,7.6,4232,53.1,91.6,34,0.4,0.7,1837,23.1,1358,17,75,0.9,77,1
Citywide,Citywide,,ELL,2018,4 year June,9760,6272,64.3,6236,63.9,99.4,1018,10.4,16.2,5218,53.5,83.2,36,0.4,0.6,1767,18.1,1508,15.5,111,1.1,98,1
Citywide,Citywide,,ELL,2017,4 year June,8376,4669,55.7,4645,55.5,99.5,804,9.6,17.2,3841,45.9,82.3,24,0.3,0.5,2202,26.3,1323,15.8,76,0.9,105,1.3
Citywide,Citywide,,ELL,2016,4 year June,7429,3155,42.5,2997,40.3,95,208,2.8,6.6,2789,37.5,88.4,158,2.1,5,2304,31,1704,22.9,77,1,187,2.5
Citywide,Citywide,,ELL,2015,4 year June,7425,2578,34.7,1751,23.6,67.9,100,1.3,3.9,1651,22.2,64,827,11.1,32.1,2723,36.7,1904,25.6,96,1.3,123,1.7
Citywide,Citywide,,ELL,2014,4 year June,6771,1968,29.1,1353,20,68.8,80,1.2,4.1,1273,18.8,64.7,615,9.1,31.3,2785,41.1,1804,26.6,107,1.6,107,1.6
Citywide,Citywide,,ELL,2013,4 year June,6372,1754,27.5,1289,20.2,73.5,81,1.3,4.6,1208,19,68.9,465,7.3,26.5,2654,41.7,1733,27.2,123,1.9,85,1.3
Citywide,Citywide,,ELL,2012,4 year June,6159,1678,27.2,1354,22,80.7,88,1.4,5.2,1266,20.6,75.4,324,5.3,19.3,2575,41.8,1666,27,140,2.3,72,1.2
Citywide,Citywide,,ELL,2018,5 year August,9615,6823,71,6763,70.3,99.1,1039,10.8,15.2,5724,59.5,83.9,60,0.6,0.9,553,5.8,1862,19.4,264,2.7,107,1.1
Citywide,Citywide,,ELL,2017,5 year August,8327,5487,65.9,5446,65.4,99.3,839,10.1,15.3,4607,55.3,84,41,0.5,0.7,631,7.6,1838,22.1,245,2.9,126,1.5
Citywide,Citywide,,ELL,2016,5 year August,7314,3940,53.9,3762,51.4,95.5,225,3.1,5.7,3537,48.4,89.8,178,2.4,4.5,893,12.2,2135,29.2,172,2.4,169,2.3
Citywide,Citywide,,ELL,2015,5 year August,6962,3614,51.9,2537,36.4,70.2,109,1.6,3,2428,34.9,67.2,1077,15.5,29.8,669,9.6,2264,32.5,278,4,135,1.9
Citywide,Citywide,,ELL,2014,5 year August,6406,2706,42.2,1719,26.8,63.5,85,1.3,3.1,1634,25.5,60.4,987,15.4,36.5,712,11.1,2592,40.5,293,4.6,103,1.6
Citywide,Citywide,,ELL,2013,5 year August,5964,2337,39.2,1600,26.8,68.5,89,1.5,3.8,1511,25.3,64.7,737,12.4,31.5,963,16.1,2264,38,304,5.1,90,1.5
Citywide,Citywide,,ELL,2012,5 year August,5894,2245,38.1,1699,28.8,75.7,94,1.6,4.2,1605,27.2,71.5,546,9.3,24.3,996,16.9,2176,36.9,368,6.2,86,1.5
Citywide,Citywide,,ELL,2018,5 year June,9615,6768,70.4,6709,69.8,99.1,1037,10.8,15.3,5672,59,83.8,59,0.6,0.9,602,6.3,1868,19.4,264,2.7,107,1.1
Citywide,Citywide,,ELL,2017,5 year June,8327,5424,65.1,5386,64.7,99.3,839,10.1,15.5,4547,54.6,83.8,38,0.5,0.7,680,8.2,1852,22.2,245,2.9,126,1.5
Citywide,Citywide,,ELL,2016,5 year June,7314,3857,52.7,3679,50.3,95.4,223,3,5.8,3456,47.3,89.6,178,2.4,4.6,970,13.3,2141,29.3,172,2.4,169,2.3
Citywide,Citywide,,ELL,2015,5 year June,6962,3546,50.9,2473,35.5,69.7,106,1.5,3,2367,34,66.8,1073,15.4,30.3,714,10.3,2287,32.8,278,4,135,1.9
Citywide,Citywide,,ELL,2014,5 year June,6406,2624,41,1681,26.2,64.1,85,1.3,3.2,1596,24.9,60.8,943,14.7,35.9,776,12.1,2610,40.7,293,4.6,103,1.6
Citywide,Citywide,,ELL,2013,5 year June,5964,2266,38,1571,26.3,69.3,89,1.5,3.9,1482,24.8,65.4,695,11.7,30.7,1028,17.2,2268,38,306,5.1,90,1.5
Citywide,Citywide,,ELL,2012,5 year June,5894,2181,37,1658,28.1,76,94,1.6,4.3,1564,26.5,71.7,523,8.9,24,1055,17.9,2180,37,368,6.2,86,1.5
Citywide,Citywide,,ELL,2017,6 year June,8278,5537,66.9,5491,66.3,99.2,839,10.1,15.2,4652,56.2,84,46,0.6,0.8,336,4.1,2005,24.2,281,3.4,119,1.4
Citywide,Citywide,,ELL,2016,6 year June,7303,4074,55.8,3892,53.3,95.5,225,3.1,5.5,3667,50.2,90,182,2.5,4.5,438,6,2390,32.7,231,3.2,166,2.3
Citywide,Citywide,,ELL,2015,6 year June,6940,3754,54.1,2671,38.5,71.2,111,1.6,3,2560,36.9,68.2,1083,15.6,28.8,393,5.7,2361,34,307,4.4,123,1.8
Citywide,Citywide,,ELL,2014,6 year June,6327,2925,46.2,1887,29.8,64.5,88,1.4,3,1799,28.4,61.5,1038,16.4,35.5,389,6.1,2580,40.8,327,5.2,106,1.7
Citywide,Citywide,,ELL,2013,6 year June,5885,2451,41.6,1642,27.9,67,91,1.5,3.7,1551,26.4,63.3,809,13.7,33,563,9.6,2462,41.8,325,5.5,79,1.3
Citywide,Citywide,,ELL,2012,6 year June,5758,2336,40.6,1722,29.9,73.7,95,1.6,4.1,1627,28.3,69.6,614,10.7,26.3,567,9.8,2374,41.2,395,6.9,72,1.3
Citywide,Citywide,,Former ELL,2019,4 year August,3483,3205,92,3199,91.8,99.8,769,22.1,24,2430,69.8,75.8,6,0.2,0.2,172,4.9,78,2.2,3,0.1,24,0.7
Citywide,Citywide,,Former ELL,2018,4 year August,2562,2347,91.6,2340,91.3,99.7,836,32.6,35.6,1504,58.7,64.1,7,0.3,0.3,144,5.6,58,2.3,0,0,12,0.5
Citywide,Citywide,,Former ELL,2017,4 year August,4196,3880,92.5,3872,92.3,99.8,1495,35.6,38.5,2377,56.6,61.3,8,0.2,0.2,243,5.8,49,1.2,1,0,21,0.5
Citywide,Citywide,,Former ELL,2016,4 year August,5116,4757,93,4680,91.5,98.4,1313,25.7,27.6,3367,65.8,70.8,77,1.5,1.6,283,5.5,56,1.1,0,0,20,0.4
Citywide,Citywide,,Former ELL,2015,4 year August,5225,4775,91.4,4419,84.6,92.5,923,17.7,19.3,3496,66.9,73.2,356,6.8,7.5,323,6.2,108,2.1,0,0,19,0.4
Citywide,Citywide,,Former ELL,2014,4 year August,4873,4335,89,3996,82,92.2,886,18.2,20.4,3110,63.8,71.7,339,7,7.8,424,8.7,103,2.1,2,0,9,0.2
Citywide,Citywide,,Former ELL,2013,4 year August,3748,3296,87.9,3010,80.3,91.3,647,17.3,19.6,2363,63,71.7,286,7.6,8.7,336,9,105,2.8,1,0,7,0.2
Citywide,Citywide,,Former ELL,2012,4 year August,3677,3121,84.9,2868,78,91.9,558,15.2,17.9,2310,62.8,74,253,6.9,8.1,418,11.4,124,3.4,3,0.1,10,0.3
Citywide,Citywide,,Former ELL,2019,4 year June,3483,3117,89.5,3113,89.4,99.9,758,21.8,24.3,2355,67.6,75.6,4,0.1,0.1,260,7.5,78,2.2,3,0.1,24,0.7
Citywide,Citywide,,Former ELL,2018,4 year June,2562,2285,89.2,2280,89,99.8,836,32.6,36.6,1444,56.4,63.2,5,0.2,0.2,205,8,59,2.3,0,0,12,0.5
Citywide,Citywide,,Former ELL,2017,4 year June,4196,3769,89.8,3761,89.6,99.8,1472,35.1,39.1,2289,54.6,60.7,8,0.2,0.2,351,8.4,52,1.2,1,0,21,0.5
Citywide,Citywide,,Former ELL,2016,4 year June,5116,4656,91,4583,89.6,98.4,1303,25.5,28,3280,64.1,70.4,73,1.4,1.6,383,7.5,57,1.1,0,0,20,0.4
Citywide,Citywide,,Former ELL,2015,4 year June,5225,4589,87.8,4267,81.7,93,910,17.4,19.8,3357,64.2,73.2,322,6.2,7,509,9.7,108,2.1,0,0,19,0.4
Citywide,Citywide,,Former ELL,2014,4 year June,4873,4144,85,3844,78.9,92.8,875,18,21.1,2969,60.9,71.6,300,6.2,7.2,615,12.6,103,2.1,2,0,9,0.2
Citywide,Citywide,,Former ELL,2013,4 year June,3748,3174,84.7,2920,77.9,92,643,17.2,20.3,2277,60.8,71.7,254,6.8,8,458,12.2,105,2.8,1,0,7,0.2
Citywide,Citywide,,Former ELL,2012,4 year June,3677,2978,81,2749,74.8,92.3,553,15,18.6,2196,59.7,73.7,229,6.2,7.7,561,15.3,124,3.4,3,0.1,10,0.3
Citywide,Citywide,,Former ELL,2018,5 year August,2528,2414,95.5,2404,95.1,99.6,841,33.3,34.8,1563,61.8,64.7,10,0.4,0.4,26,1,74,2.9,1,0,12,0.5
Citywide,Citywide,,Former ELL,2017,5 year August,4083,3919,96,3910,95.8,99.8,1485,36.4,37.9,2425,59.4,61.9,9,0.2,0.2,41,1,93,2.3,2,0,26,0.6
Citywide,Citywide,,Former ELL,2016,5 year August,5170,4941,95.6,4858,94,98.3,1322,25.6,26.8,3536,68.4,71.6,83,1.6,1.7,92,1.8,103,2,3,0.1,31,0.6
Citywide,Citywide,,Former ELL,2015,5 year August,5541,5273,95.2,4832,87.2,91.6,932,16.8,17.7,3900,70.4,74,441,8,8.4,81,1.5,161,2.9,2,0,24,0.4
Citywide,Citywide,,Former ELL,2014,5 year August,5001,4666,93.3,4235,84.7,90.8,883,17.7,18.9,3352,67,71.8,431,8.6,9.2,90,1.8,220,4.4,2,0,23,0.5
Citywide,Citywide,,Former ELL,2013,5 year August,2388,1996,83.6,1784,74.7,89.4,455,19.1,22.8,1329,55.7,66.6,212,8.9,10.6,168,7,198,8.3,9,0.4,16,0.7
Citywide,Citywide,,Former ELL,2012,5 year August,3826,3494,91.3,3194,83.5,91.4,590,15.4,16.9,2604,68.1,74.5,300,7.8,8.6,152,4,168,4.4,3,0.1,7,0.2
Citywide,Citywide,,Former ELL,2018,5 year June,2528,2409,95.3,2399,94.9,99.6,841,33.3,34.9,1558,61.6,64.7,10,0.4,0.4,29,1.1,76,3,1,0,12,0.5
Citywide,Citywide,,Former ELL,2017,5 year June,4083,3911,95.8,3902,95.6,99.8,1485,36.4,38,2417,59.2,61.8,9,0.2,0.2,48,1.2,94,2.3,2,0,26,0.6
Citywide,Citywide,,Former ELL,2016,5 year June,5170,4926,95.3,4843,93.7,98.3,1322,25.6,26.8,3521,68.1,71.5,83,1.6,1.7,102,2,108,2.1,3,0.1,31,0.6
Citywide,Citywide,,Former ELL,2015,5 year June,5541,5251,94.8,4810,86.8,91.6,932,16.8,17.7,3878,70,73.9,441,8,8.4,93,1.7,171,3.1,2,0,24,0.4
Citywide,Citywide,,Former ELL,2014,5 year June,5001,4635,92.7,4217,84.3,91,883,17.7,19.1,3334,66.7,71.9,418,8.4,9,111,2.2,229,4.6,2,0,24,0.5
Citywide,Citywide,,Former ELL,2013,5 year June,2388,1970,82.5,1765,73.9,89.6,455,19.1,23.1,1310,54.9,66.5,205,8.6,10.4,193,8.1,199,8.3,9,0.4,16,0.7
Citywide,Citywide,,Former ELL,2012,5 year June,3826,3472,90.7,3175,83,91.4,590,15.4,17,2585,67.6,74.5,297,7.8,8.6,173,4.5,169,4.4,3,0.1,7,0.2
Citywide,Citywide,,Former ELL,2017,6 year June,4088,3942,96.4,3931,96.2,99.7,1484,36.3,37.6,2447,59.9,62.1,11,0.3,0.3,18,0.4,97,2.4,3,0.1,26,0.6
Citywide,Citywide,,Former ELL,2016,6 year June,5150,4961,96.3,4877,94.7,98.3,1322,25.7,26.6,3555,69,71.7,84,1.6,1.7,23,0.4,128,2.5,4,0.1,34,0.7
Citywide,Citywide,,Former ELL,2015,6 year June,5556,5325,95.8,4882,87.9,91.7,932,16.8,17.5,3950,71.1,74.2,443,8,8.3,39,0.7,163,2.9,2,0,27,0.5
Citywide,Citywide,,Former ELL,2014,6 year June,5026,4747,94.4,4301,85.6,90.6,883,17.6,18.6,3418,68,72,446,8.9,9.4,39,0.8,213,4.2,2,0,25,0.5
Citywide,Citywide,,Former ELL,2013,6 year June,2359,2055,87.1,1830,77.6,89.1,455,19.3,22.1,1375,58.3,66.9,225,9.5,10.9,50,2.1,230,9.7,9,0.4,14,0.6
Citywide,Citywide,,Former ELL,2012,6 year June,3520,3209,91.2,2925,83.1,91.1,560,15.9,17.5,2365,67.2,73.7,284,8.1,8.9,100,2.8,186,5.3,5,0.1,9,0.3
Citywide,Citywide,,Not ELL,2019,4 year August,58442,50360,86.2,50200,85.9,99.7,17534,30,34.8,32666,55.9,64.9,160,0.3,0.3,5077,8.7,2317,4,184,0.3,468,0.8
Citywide,Citywide,,Not ELL,2018,4 year August,58590,50485,86.2,50276,85.8,99.6,22846,39,45.3,27430,46.8,54.3,209,0.4,0.4,5162,8.8,2270,3.9,211,0.4,437,0.7
Citywide,Citywide,,Not ELL,2017,4 year August,60091,51123,85.1,50785,84.5,99.3,24414,40.6,47.8,26371,43.9,51.6,338,0.6,0.7,6158,10.2,2178,3.6,150,0.2,440,0.7
Citywide,Citywide,,Not ELL,2016,4 year August,61020,50554,82.8,49829,81.7,98.6,21134,34.6,41.8,28695,47,56.8,725,1.2,1.4,7033,11.5,2581,4.2,192,0.3,645,1.1
Citywide,Citywide,,Not ELL,2015,4 year August,61122,49224,80.5,45403,74.3,92.2,14579,23.9,29.6,30824,50.4,62.6,3821,6.3,7.8,7386,12.1,3738,6.1,221,0.4,550,0.9
Citywide,Citywide,,Not ELL,2014,4 year August,63304,50236,79.4,46599,73.6,92.8,14688,23.2,29.2,31911,50.4,63.5,3637,5.7,7.2,8571,13.5,3707,5.9,244,0.4,537,0.8
Citywide,Citywide,,Not ELL,2013,4 year August,63034,48956,77.7,45755,72.6,93.5,14023,22.2,28.6,31732,50.3,64.8,3201,5.1,6.5,9319,14.8,3896,6.2,304,0.5,477,0.8
Citywide,Citywide,,Not ELL,2012,4 year August,64336,49119,76.3,46200,71.8,94.1,13161,20.5,26.8,33039,51.4,67.3,2919,4.5,5.9,9850,15.3,4480,7,327,0.5,400,0.6
Citywide,Citywide,,Not ELL,2019,4 year June,58442,48933,83.7,48773,83.5,99.7,17467,29.9,35.7,31306,53.6,64,160,0.3,0.3,6453,11,2361,4,191,0.3,468,0.8
Citywide,Citywide,,Not ELL,2018,4 year June,58590,49174,83.9,48987,83.6,99.6,22695,38.7,46.2,26292,44.9,53.5,187,0.3,0.4,6454,11,2289,3.9,211,0.4,437,0.7
Citywide,Citywide,,Not ELL,2017,4 year June,60091,49624,82.6,49318,82.1,99.4,24166,40.2,48.7,25152,41.9,50.7,306,0.5,0.6,7644,12.7,2190,3.6,151,0.3,440,0.7
Citywide,Citywide,,Not ELL,2016,4 year June,61020,49511,81.1,48823,80,98.6,21052,34.5,42.5,27771,45.5,56.1,688,1.1,1.4,8050,13.2,2607,4.3,192,0.3,645,1.1
Citywide,Citywide,,Not ELL,2015,4 year June,61122,47326,77.4,43932,71.9,92.8,14508,23.7,30.7,29424,48.1,62.2,3394,5.6,7.2,9242,15.1,3778,6.2,223,0.4,550,0.9
Citywide,Citywide,,Not ELL,2014,4 year June,63304,48358,76.4,45142,71.3,93.3,14627,23.1,30.2,30515,48.2,63.1,3216,5.1,6.7,10445,16.5,3707,5.9,248,0.4,537,0.8
Citywide,Citywide,,Not ELL,2013,4 year June,63034,47090,74.7,44267,70.2,94,13952,22.1,29.6,30315,48.1,64.4,2823,4.5,6,11170,17.7,3896,6.2,318,0.5,477,0.8
Citywide,Citywide,,Not ELL,2012,4 year June,64336,47254,73.4,44689,69.5,94.6,13110,20.4,27.7,31579,49.1,66.8,2565,4,5.4,11708,18.2,4481,7,331,0.5,400,0.6
Citywide,Citywide,,Not ELL,2018,5 year August,58488,51956,88.8,51690,88.4,99.5,22876,39.1,44,28814,49.3,55.5,266,0.5,0.5,1959,3.3,3400,5.8,554,0.9,596,1
Citywide,Citywide,,Not ELL,2017,5 year August,59685,52554,88.1,52310,87.6,99.5,24464,41,46.6,27846,46.7,53,244,0.4,0.5,2228,3.7,3649,6.1,586,1,629,1.1
Citywide,Citywide,,Not ELL,2016,5 year August,60932,52735,86.5,51898,85.2,98.4,21196,34.8,40.2,30702,50.4,58.2,837,1.4,1.6,3176,5.2,3814,6.3,383,0.6,794,1.3
Citywide,Citywide,,Not ELL,2015,5 year August,61200,51788,84.6,47553,77.7,91.8,14618,23.9,28.2,32935,53.8,63.6,4235,6.9,8.2,3191,5.2,4790,7.8,614,1,810,1.3
Citywide,Citywide,,Not ELL,2014,5 year August,63453,52752,83.1,48321,76.2,91.6,14719,23.2,27.9,33602,53,63.7,4431,7,8.4,3186,5,6224,9.8,610,1,675,1.1
Citywide,Citywide,,Not ELL,2013,5 year August,64530,53099,82.3,48928,75.8,92.1,14110,21.9,26.6,34818,54,65.6,4171,6.5,7.9,4117,6.4,5821,9,858,1.3,619,1
Citywide,Citywide,,Not ELL,2012,5 year August,64379,51944,80.7,48274,75,92.9,13145,20.4,25.3,35129,54.6,67.6,3670,5.7,7.1,4616,7.2,6412,10,747,1.2,523,0.8
Citywide,Citywide,,Not ELL,2018,5 year June,58488,51769,88.5,51507,88.1,99.5,22874,39.1,44.2,28633,49,55.3,262,0.4,0.5,2097,3.6,3449,5.9,554,0.9,596,1
Citywide,Citywide,,Not ELL,2017,5 year June,59685,52383,87.8,52143,87.4,99.5,24459,41,46.7,27684,46.4,52.8,240,0.4,0.5,2358,4,3690,6.2,586,1,629,1.1
Citywide,Citywide,,Not ELL,2016,5 year June,60932,52466,86.1,51646,84.8,98.4,21189,34.8,40.4,30457,50,58.1,820,1.3,1.6,3418,5.6,3841,6.3,383,0.6,794,1.3
Citywide,Citywide,,Not ELL,2015,5 year June,61200,51508,84.2,47296,77.3,91.8,14616,23.9,28.4,32680,53.4,63.4,4212,6.9,8.2,3375,5.5,4886,8,614,1,810,1.3
